M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1024,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
1024,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
1024,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
136,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
144,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
152,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
160,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
168,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
176,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False
6043,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
6043,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
6043,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
6043,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
6043,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
6043,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
6043,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
6043,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
6086,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
6086,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
6086,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
6086,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
6086,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
6086,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
6086,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
6086,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
6264,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
6264,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
6264,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
6264,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
6264,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
6264,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
6264,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
6264,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
6574,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
6574,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
6574,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
6574,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
6574,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
6574,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
6574,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
6574,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
7179,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
7179,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
7179,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
7179,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
7179,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
7179,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
7179,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
7179,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
7359,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
7359,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
7359,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
7359,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
7359,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
7359,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
7359,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
