gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,2048,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,191.8332,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_fp4,0.9%,146.4468,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_nt_sbm64,1.1%,338.28,0,0,0,761.79,9596.76,
gfx950,256,2048,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,193.954,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_fp4,0.9%,160.0858,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_nt_sbm64,1.1%,354.0398,0,0,0,800.67,9187.34,
gfx950,256,4096,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,129.5647,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4_fp4,0.9%,217.2936,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,346.8583,0,0,0,742.95,4788.54,
gfx950,256,4096,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,244.3864,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,0.9%,263.3536,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,507.74,0,0,0,1015.08,6443.37,
gfx950,256,4096,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,259.4414,flydsl_moe1_afp4_wfp4_bf16_t128x64x256_w4_fp4,0.9%,276.835,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm128,1.1%,536.2764,0,0,0,1057.17,6112.24,
gfx950,256,8192,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,181.2353,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_xcd4_fp4,0.9%,385.1838,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,566.4191,0,0,0,909.92,3021.22,
gfx950,256,8192,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,346.2395,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_bnt0_fp4,0.9%,432.6218,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,778.8613,0,0,0,1323.46,4265.06,
gfx950,256,8192,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,356.4246,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_bnt0_fp4,0.9%,458.3844,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,814.809,0,0,0,1391.58,4084.61,
gfx950,256,16384,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,277.5639,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4_fp4,0.9%,730.5753,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_nt_sbm64,1.1%,1008.1392,0,0,0,1022.47,1797.31,
gfx950,256,16384,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,493.8008,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.9%,797.3728,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,1291.1736,0,0,0,1596.67,2650.73,
gfx950,256,16384,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,558.4301,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.9%,922.0307,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,1480.4608,0,0,0,1531.78,2316.07,
gfx950,256,32768,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,464.5103,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,0.9%,1442.544,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,1907.0543,0,0,0,1081.03,1055.69,
gfx950,256,32768,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,869.1993,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.9%,1644.4771,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_reduce_persist_sbm64,1.1%,2513.6764,0,0,0,1640.29,1441.66,
gfx950,256,32768,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,969.1325,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.9%,1836.0347,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_sbm64,1.1%,2805.1672,0,0,0,1616.83,1294.1,
